BIN,Address,Borough,Management Company,Owner Name,Loss of Service % (30d),Recent Complaints (30d),AI Headline
2005351,902 WESTCHESTER AVENUE,Bronx,MKS 902 LLC,MKS 902 LLC,0.00%,0,Executive Summary: Proactive Elevator Maintenance Inquiry and Current Outage at 902 Westchester Avenue
2010236,1415 BRISTOW STREET,Bronx,CROTONA PARK REDEVELOPMENT LLC,CROTONA PARK REDEVELOPMENT LLC,0.00%,0,Executive Summary: Urgent Elevator Malfunction Concerns at 1415 BRISTOW STREET Requiring Proactive Monitoring and Systemic Resolution
2010493,1327 SOUTHERN BOULEVARD,Bronx,DON LW LLC,DON LW LLC,0.00%,0,Elevator Service Crisis at 1327 SOUTHERN BOULEVARD: Chronic Failures and High Tenant Dissatisfaction
2116642,870 COURTLAND AVENUE,Bronx,"COURTLANDT CORNERS I, L.P.","COURTLANDT CORNERS I, L.P.",0.00%,0,Critical Elevator Malfunctions at 870 Courtland Avenue Demand Immediate Intervention Amid Chronic Failures and Tenant Distress
2124684,1825 BOSTON ROAD,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Critical Elevator Reliability Concerns at 1825 BOSTON ROAD (BIN 2124684): Persistent Malfunctions and Active Safety Risk
2010884,1700 BRYANT AVENUE,Bronx,NYC HOUSING DEVELOPMENT CORP.,NYC HOUSING DEVELOPMENT CORP.,0.00%,0,Elevator Service at 1700 Bryant Avenue: Addressing Long-Standing Tenant Frustration Amidst Urgent Reports
2116977,361 EAST 161 STREET,Bronx,COURTLANDT CORNERS II ASSOCIATES LP,COURTLANDT CORNERS II ASSOCIATES LP,0.28%,1,Building 361 EAST 161 STREET Faces High Risk Due to Persistent Elevator Failures and Tenant Distress
2004257,1229 FRANKLIN AVENUE,Bronx,1229 ESTATES LLC,1229 ESTATES LLC,0.00%,0,Critical Elevator Service Failures at 1229 Franklin Avenue Demand Immediate Intervention
2116630,501 EAST 161 STREET,Bronx,BORICUA VILLAGE HOUSING DEVELOPMENT FUND,BORICUA VILLAGE HOUSING DEVELOPMENT FUND,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 501 EAST 161 STREET Require Urgent Intervention
2005517,745 FOX STREET,Bronx,MI CASA HDFC,MI CASA HDFC,0.00%,0,Executive Summary: Elevator Status and Advocacy for 745 FOX STREET
2005568,758 KELLY STREET,Bronx,758 KELLY LLC,758 KELLY LLC,0.00%,0,Critical Elevator Reliability Issues at 758 KELLY STREET: Persistent Failures and High Tenant Frustration Demand Immediate Intervention
2006023,1057 HOE AVENUE,Bronx,1057 HOE AVENUE LLC D,1057 HOE AVENUE LLC D,0.00%,0,"Elevator System at 1057 HOE AVENUE Requires Immediate, Comprehensive Intervention Due to Chronic Malfunctions"
2005882,916 SOUTHERN BOULEVARD,Bronx,916 SOUTHERN BLVD LLC,916 SOUTHERN BLVD LLC,0.00%,0,Elevator Reliability Crisis at 916 SOUTHERN BOULEVARD Requires Immediate Intervention
2005210,970 PROSPECT AVENUE,Bronx,BANANA KELLY PROSPECT HDFC,BANANA KELLY PROSPECT HDFC,0.00%,0,Critical Escalation of Elevator Malfunctions at 970 Prospect Avenue Demands Immediate Intervention
2005456,935 EAST 163 STREET,Bronx,EAST 163RD LLC,EAST 163RD LLC,0.00%,0,Executive Summary: Persistent Elevator Service Disruptions at 935 EAST 163 STREET Require Immediate Intervention
2114482,1118 INTERVALE AVENUE,Bronx,"INTERVALE AVENUE ASSOCIATES, L.P.","INTERVALE AVENUE ASSOCIATES, L.P.",0.00%,0,Elevator Service at 1118 Intervale Avenue: High Risk Due to Persistent Malfunctions and Community Distress
2113504,1000 SIMPSON STREET,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 1000 Simpson Street Demand Urgent Proactive Intervention
2113111,1208 FRANKLIN AVENUE,Bronx,FRANKLIN AVE ESTATES OWNER LLC,FRANKLIN AVE ESTATES OWNER LLC,0.00%,0,CRITICAL Alert: Chronic Elevator Failures at 1208 Franklin Avenue Demand Immediate Intervention
2005721,737 SOUTHERN BOULEVARD,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.",0.00%,0,Persistent Elevator Malfunctions at 737 Southern Boulevard Drive Tenant Frustration Amidst Absence of Official Historical Complaints
2113134,973 REV J A POLITE AVENUE,Bronx,VIP RJP HOUSING DEVELOPMENT FUND CORPORA TION,VIP RJP HOUSING DEVELOPMENT FUND CORPORA TION,0.00%,0,CRITICAL: Escalating Elevator Failures at 973 REV J A POLITE AVENUE Necessitate Immediate Action
2006155,1107 BRYANT AVENUE,Bronx,BRYANT ASSOCIATES,BRYANT ASSOCIATES,0.00%,0,Urgent Action Required: Chronic Elevator Safety Failures at 1107 Bryant Avenue
2095314,945 EAST 174 STREET,Bronx,M.B.D. WALLACE MOBLEY HOUSING DEVELOPMEN T,M.B.D. WALLACE MOBLEY HOUSING DEVELOPMEN T,0.00%,0,Urgent Intervention Required: Chronic Elevator Malfunctions Impact Tenants at 945 EAST 174 STREET
2025369,1265 MORRISON AVENUE,Bronx,G&M PROPERTIES HP HOUSING DEVELOPMENT,G&M PROPERTIES HP HOUSING DEVELOPMENT,0.00%,0,Elevator System at 1265 Morrison Avenue Requires Immediate Intervention Amid Chronic Malfunctions
2006556,735 BRYANT AVENUE,Bronx,BRYANT REALTY HOLDINGS 735 LLC,BRYANT REALTY HOLDINGS 735 LLC,0.00%,0,Ongoing Elevator Reliability Concerns and Chronic Breakdowns at 735 Bryant Avenue Require Immediate Attention
2005635,931 FOX STREET,Bronx,QUADRANT PROPERTIES HOUSING DEVELOPMENT,QUADRANT PROPERTIES HOUSING DEVELOPMENT,0.00%,0,Executive Summary: Critical Elevator Performance Issues at 931 FOX STREET Requiring Proactive Monitoring
2006081,996 ALDUS STREET,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 996 ALDUS STREET Demand Urgent Intervention
2005359,941 INTERVALE AVENUE,Bronx,BK CLUSTER HOUSING DEVELOPMENT FUND CORP ORATION,BK CLUSTER HOUSING DEVELOPMENT FUND CORP ORATION,0.00%,0,Elevator Reliability at 941 Intervale Avenue: Urgent Intervention Required Amidst Chronic Outages
2102069,916 REV POLITE AVENUE,Bronx,916 POLITE HOUSING DEVELOPMENT FUND CORP ORATION,916 POLITE HOUSING DEVELOPMENT FUND CORP ORATION,0.00%,0,Urgent Intervention Required: Chronic Elevator Malfunctions at 916 REV POLITE AVENUE Pose High Risk and Legal Non-Compliance
2005038,818 HOME STREET,Bronx,UNION HOUSING PRESERVATION LP.,UNION HOUSING PRESERVATION LP.,0.00%,0,Executive Summary: Elevator Performance and Tenant Advocacy at 818 HOME STREET
2093935,975 SIMPSON STREET,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Elevator System at 975 Simpson Street Exhibiting Increased Failure Frequency and Chronic Reliability Issues
2005728,774 FOX STREET,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y,  INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y,  INC.",0.00%,0,Elevator Service at 774 Fox Street: Urgent Review Required Amidst Current Reports and Past Operational Frustrations
2005769,940 FOX STREET,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Executive Summary: Elevator Status and Advocacy Strategy for 940 FOX STREET
2010936,1712 LONGFELLOW AVENUE,Bronx,1712 & 1715 HDFC INC,1712 & 1715 HDFC INC,0.28%,1,Persistent Elevator Defects at 1712 Longfellow Avenue Fuel Tenant Frustration
2118406,870 JENNINGS STREET,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Critical Report: Persistent Elevator Malfunctions at 870 Jennings Street Demand Urgent Intervention
2010608,1711 HOE AVENUE,Bronx,ROSE ELLEN SMITH MBD HOUSING DEVELOPMENT FUND CORP,ROSE ELLEN SMITH MBD HOUSING DEVELOPMENT FUND CORP,0.00%,0,Executive Summary: Elevator Service Assessment for 1711 HOE AVENUE
2006002,800 BARRETTO STREET,Bronx,ELLEN ROSE ASSOCIATES LLC,ELLEN ROSE ASSOCIATES LLC,0.00%,0,Critical Elevator Service Alert: Proactive Monitoring and Maintenance Strategy Essential for 800 Barretto Street Amidst Chronic Failures
2091964,765 EAST  163 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Elevator Status and Advocacy Recommendations for 765 East 163 Street
2009735,1372 FRANKLIN AVENUE,Bronx,1372 FRANKLIN AVE HSG,1372 FRANKLIN AVE HSG,0.00%,0,Urgent Elevator Concerns at 1372 Franklin Avenue Highlight Discrepancy in Historical Records
2006595,1202 SPOFFORD AVENUE,Bronx,BRONX 1202 SPOFFORD AVENUE L.P.,BRONX 1202 SPOFFORD AVENUE L.P.,0.00%,0,Critical Elevator Malfunction and Persistent Unreliability at 1202 Spofford Avenue Requires Urgent Intervention
2116514,1323 LOUIS NINE BOULEVARD,Bronx,URBAN HORIZONS II HOUSING DEVELOPMENT FU ND,URBAN HORIZONS II HOUSING DEVELOPMENT FU ND,0.00%,0,Executive Summary: Urgent Elevator Reliability Crisis at 1323 LOUIS NINE BOULEVARD
2097876,730 EAST 165 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Persistent Hazardous Elevator Conditions at 730 EAST 165 STREET Demand Immediate Intervention
2109536,861 EAST 163 STREET,Bronx,SENIOR LIVING OPTIONS INC,SENIOR LIVING OPTIONS INC,0.00%,0,Elevator System at 861 EAST 163 STREET Requires Immediate Proactive Monitoring and Intervention
2005720,712 FOX STREET,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.",0.00%,0,"Critical Elevator Issues Persist at 712 Fox Street, Demanding Urgent Action"
2005630,908 TIFFANY STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Executive Summary: Elevator Condition and Action Plan for 908 TIFFANY STREET
2001152,510 EAST  156 STREET,Bronx,NYCHA TRIBOROUGH PRESERVATION HDFC,NYCHA TRIBOROUGH PRESERVATION HDFC,0.00%,0,Elevator System at 510 East 156 Street: Chronic Outages and Urgent Tenant Concerns Require Proactive Intervention
2010300,1555 SEABURY PLACE,Bronx,1555 SEABURY PL HSING,1555 SEABURY PL HSING,0.00%,0,"Building 1555 SEABURY PLACE Faces Chronic Elevator Issues, Requiring Immediate and Proactive Intervention"
2117541,663 FOX STREET,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.",0.00%,0,Executive Summary: Persistent Elevator Malfunction Concerns at 663 FOX STREET
2004131,581 TIMPSON PLACE,Bronx,TIMPSON HOUSING DEV.FUND,TIMPSON HOUSING DEV.FUND,0.00%,0,Elevator System at 581 Timpson Place Requires Immediate Intervention Due to Chronic Failures and High Tenant Frustration
2116530,955 CAULDWELL AVENUE,Bronx,ALBERT GOODMAN HOUSING DEVELOPMENT FUND CORP.,ALBERT GOODMAN HOUSING DEVELOPMENT FUND CORP.,0.00%,0,Critical Elevator Service Concerns at 955 Cauldwell Avenue: Urgent Action Required
2006226,1010 BRYANT AVENUE,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,"Elevator Reliability at 1010 Bryant Avenue Poses High Risk, Demands Proactive Intervention"
2099787,999 EAST  163 STREET,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Urgent Action Required: Persistent Elevator Outages at 999 East 163 Street Leading to High Tenant Frustration
2093922,321 EAST  153 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator System at 321 EAST 153 STREET Requires Immediate Intervention Due to Chronic Failures and Resident Frustration
2093919,346 EAST  156 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Operations at 346 EAST 156 STREET: Persistent Tenant Frustration Amidst Sporadic Incident History
2092907,1595 EAST  174 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Persistent Elevator Issues Prompt Tenant Frustration at 1595 East 174 Street
2025368,1268 STRATFORD AVENUE,Bronx,G&M PROPERTIES HP HOUSING DEVELOPMENT,G&M PROPERTIES HP HOUSING DEVELOPMENT,0.00%,0,Critical Elevator Service Degradation at 1268 Stratford Avenue Requires Immediate Intervention
2113353,951 HOE AVENUE,Bronx,962 ALDUS STREET CONDO,962 ALDUS STREET CONDO,0.00%,0,Building 951 HOE AVENUE: Persistent Elevator Malfunctions and High Tenant Frustration Warrant Urgent Intervention
2006156,1209 WESTCHESTER AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Critical Elevator Service Concerns at 1209 Westchester Avenue Require Immediate Attention
2114613,404 EAST 158 STREET,Bronx,SENIOR LIVING OPTIONS INC,SENIOR LIVING OPTIONS INC,0.00%,0,"Elevator System at 404 EAST 158 STREET Faces Persistent Failure, Demanding Immediate Intervention"
2006562,710 HUNTS POINT AVENUE,Bronx,710 HUNTS POINT EQUITIES LLC,710 HUNTS POINT EQUITIES LLC,0.00%,0,Elevator System at 710 Hunts Point Avenue Requires Immediate and Comprehensive Intervention
2004408,601 EAST 149 STREET,Bronx,LRF HOUSING ASSOCIATES,LRF HOUSING ASSOCIATES,0.00%,0,Critical Elevator Safety Concerns and Tenant Distress at 601 EAST 149 STREET
2005771,940 SIMPSON STREET,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Persistent Elevator Malfunctions at 940 SIMPSON STREET Demand Urgent Intervention
2091226,285 EAST  156 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Urgent Intervention Required for Chronic Elevator Failures at 285 East 156 Street
2092906,1575 .E 174 ST,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Concerns Escalating at 1575 .E 174 ST: Urgent Action Required on Persistent Issues
2004458,661 CAULDWELL AVENUE,Bronx,CAULDWELL DEVELOPMENT LLC,CAULDWELL DEVELOPMENT LLC,0.00%,0,Persistent Elevator Malfunctions at 661 Cauldwell Avenue Lead to High Tenant Frustration and Demand for Proactive Intervention
2006319,875 IRVINE STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Urgent Action Required: Chronic Elevator Failures at 875 Irvine Street Demand Immediate Intervention
2006439,1220 SENECA AVENUE,Bronx,HUNTS POINT HSNG DEVFUN,HUNTS POINT HSNG DEVFUN,0.00%,0,Critical Elevator Malfunctions at 1220 Seneca Avenue Demand Immediate Intervention
2023773,1184 EVERGREEN AVENUE,Bronx,"NEWSTART REALTY HOUSING DEVELOPMENT FUND CO., INC.","NEWSTART REALTY HOUSING DEVELOPMENT FUND CO., INC.",0.00%,0,Critical Elevator Malfunctions at 1184 Evergreen Avenue: Persistent Issues Fueling Tenant Frustration and Legal Concerns
2005736,765 SOUTHERN BOULEVARD,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Elevator System at 765 Southern Boulevard Requires Immediate Intervention Due to Active Complaints and High Tenant Frustration
2113131,881 EAST  162 STREET,Bronx,SENIOR LIVING OPTIONS INC,SENIOR LIVING OPTIONS INC,0.00%,0,Elevator System at 881 East 162 Street Requires Urgent Intervention Due to Persistent Malfunctions and High Tenant Frustration
2098986,1455 HARROD AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Elevator Performance and Tenant Concerns at 1455 Harrod Avenue
2128557,1490 BOONE AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Chronic Elevator Malfunctions at 1490 BOONE AVENUE Lead to High Tenant Frustration and Legal Non-Compliance
2004135,600 TIMPSON PLACE,Bronx,TIMPSON PLACE ASSOCIATES LLC,TIMPSON PLACE ASSOCIATES LLC,0.28%,1,Elevator Reliability Crisis at 600 Timpson Place Demands Immediate Intervention
2005682,1049 FOX STREET,Bronx,1049 FOX STREET HOUSING DEVELOPMENT FUND  CORPORA,1049 FOX STREET HOUSING DEVELOPMENT FUND  CORPORA,0.28%,1,Elevator Reliability at 1049 FOX STREET: Persistent Malfunctions Warrant Urgent Intervention
2006275,1240 WESTCHESTER AVENUE,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Elevator Safety Crisis at 1240 WESTCHESTER AVENUE: Decades of Malfunction and Tenant Frustration Demand Immediate Intervention
2005455,915 KELLY STREET,Bronx,SEBCO/BANANA KELLY ASSOC,SEBCO/BANANA KELLY ASSOC,0.00%,0,Executive Summary: Elevator Status and Advocacy for 915 Kelly Street
2000862,369 EAST  149 STREET,Bronx,"369 149TH STREET REALTY, LTD.","369 149TH STREET REALTY, LTD.",0.00%,0,Critical Elevator Reliability Concerns at 369 EAST 149 STREET Warrant Immediate Intervention
2091970,735 EAST  165 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Persistent Elevator Malfunctions and Community Frustration at 735 EAST 165 STREET
2023772,1160 EVERGREEN AVENUE,Bronx,EVERGREEN TIEBOUT HOUSING DEVELOPMENT FU ND CORPOR,EVERGREEN TIEBOUT HOUSING DEVELOPMENT FU ND CORPOR,0.00%,0,Executive Summary: Persistent and Recurring Elevator Service Interruptions at 1160 EVERGREEN AVENUE Necessitate Urgent Intervention
2005518,737 FOX STREET,Bronx,"FOX STREET RESIDENCES, LLC","FOX STREET RESIDENCES, LLC",0.00%,0,Urgent Action Required: Persistent Elevator Failures and Growing Tenant Frustration at 737 Fox Street
2093918,681 COURTLANDT AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Proactive Monitoring Recommended for 681 Courtlandt Avenue Elevator Service Amidst Recent Urgent Reports
2010679,1687 VYSE AVENUE,Bronx,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,0.00%,0,Executive Summary: Proactive Elevator Monitoring Strategy for 1687 Vyse Avenue
2006509,717 COSTER STREET,Bronx,PHOENIX ESTATES HDFC,PHOENIX ESTATES HDFC,0.00%,0,Executive Summary: Elevator Status for 717 COSTER STREET - Nominal Risk with Proactive Monitoring Recommended
2004383,905 EAGLE AVENUE,Bronx,UNION HOUSING PRESERVATION LP.,UNION HOUSING PRESERVATION LP.,0.00%,0,Critical Elevator Service Failures Demand Immediate Intervention at 905 Eagle Avenue
2097050,234 EAST  149 STREET,Bronx,NYC HEALTH AND HOSPITALS CORPORATION,NYC HEALTH AND HOSPITALS CORPORATION,0.00%,0,"Building 234 EAST 149 STREET: Nominal Risk Identified, Proactive Monitoring Recommended Post Isolated Outage"
2120357,1145 SOUTHERN BOULEVARD,Bronx,SOUTHERN HOSPITALITY LLC,SOUTHERN HOSPITALITY LLC,0.00%,0,"Elevator Reliability Crisis at 1145 SOUTHERN BOULEVARD: Chronic Breakdowns, High Community Frustration, and Urgent Intervention Required"
2102500,383 EAST 152 STREET,Bronx,"FIGUEROA, AIDA","FIGUEROA, AIDA",0.00%,0,Executive Summary: Elevator Outage at 383 EAST 152 STREET
2010903,1025 FREEMAN STREET,Bronx,WEST FARMS ESTATES HOUSING DEVELOPMENT F UND CORPOR,WEST FARMS ESTATES HOUSING DEVELOPMENT F UND CORPOR,0.00%,0,Executive Summary: Elevated Risk and Tenant Frustration at 1025 FREEMAN STREET
2115452,960 TINTON AVENUE,Bronx,"NORTH STAR HOUSING,INC.","NORTH STAR HOUSING,INC.",0.00%,0,Executive Summary: Recurring Elevator Unreliability at 960 Tinton Avenue Demands Proactive Oversight
2116529,3250 3 AVENUE,Bronx,ALBERT GOODMAN HOUSING DEVELOPMENT FUND CORP.,ALBERT GOODMAN HOUSING DEVELOPMENT FUND CORP.,0.00%,0,Critical Elevator Safety and Reliability Concerns at 3250 3 Avenue Warrant Immediate Intervention
2091227,3050 PARK AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator System at 3050 Park Avenue Requires Immediate Attention Due to Persistent Historical Issues and Recent Urgent Reports
2005737,755 SOUTHERN BOULEVARD,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Executive Summary: Elevator Performance and Risk Assessment for 755 SOUTHERN BOULEVARD
2006278,1083 LONGFELLOW AVENUE,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,"Building 1083 LONGFELLOW AVENUE: Persistent Elevator Malfunctions Fuel Deep Community Frustration, Highlighting Urgent Need for Proactive Intervention."
2091223,785 COURTLANDT AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Proactive Elevator Monitoring and Maintenance at 785 Courtlandt Avenue
2000538,448 EAST  149 STREET,Bronx,448 LLC,448 LLC,0.00%,0,Elevator Service Disruptions at 448 East 149 Street Require Immediate Attention and Proactive Monitoring
2006147,1076 FAILE STREET,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Elevator System at 1076 FAILE STREET Plagued by Persistent Issues and High Tenant Frustration
2004406,591 EAST  165 STREET,Bronx,RED MAPLE CORP,RED MAPLE CORP,0.00%,0,Executive Summary: Elevator Service Continuity for 591 EAST 165 STREET
2094189,441 EAST 155 STREET,Bronx,NEW BEGINNING COMMUNITY REDEVELOPMENT CO RP.,NEW BEGINNING COMMUNITY REDEVELOPMENT CO RP.,0.00%,0,Executive Summary: Persistent Elevator Reliability Concerns at 441 EAST 155 STREET
2094332,730 KELLY STREET,Bronx,HOMES FOR THE HOMELESS INSTITUTE INC,HOMES FOR THE HOMELESS INSTITUTE INC,0.00%,0,"Elevator System at 730 Kelly Street: Chronic Issues, High Tenant Frustration, and Urgent Need for Intervention"
2005355,939 INTERVALE AVENUE,Bronx,SEBCO IV ASSOCIATES,SEBCO IV ASSOCIATES,0.00%,0,Elevator Service at 939 Intervale Avenue: Persistent Failures Prompt Urgent Action
2004497,665 EAST  163 STREET,Bronx,ALBERT GOODMAN HOUSING DEVELOPMENT FUND  CORP.,ALBERT GOODMAN HOUSING DEVELOPMENT FUND  CORP.,0.00%,0,Urgent Intervention Required: Chronic Elevator Failures at 665 EAST 163 STREET Demand Immediate Action
2005353,894 ROGERS PLACE,Bronx,ROGERS PLACE LLC,ROGERS PLACE LLC,0.00%,0,Elevator Reliability Concerns at 894 Rogers Place Warrant Immediate Attention
2129166,1032 INTERVALE AVENUE,Bronx,1028 INTERVALE AVE LLC,1028 INTERVALE AVE LLC,0.00%,0,Executive Summary: Persistent Elevator Issues at 1032 INTERVALE AVENUE Demand Proactive Intervention
2091949,920 TRINITY AVENUE,Bronx,WOODSTOCK TERRACE MUTUAL HOUSING,WOODSTOCK TERRACE MUTUAL HOUSING,0.00%,0,Elevator Service Review: Urgent Action Required for 920 Trinity Avenue
2091228,3080 PARK AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator System at 3080 Park Avenue Presents High Operational Risk Due to Recurring Failures and Deep Tenant Frustration
2006477,1325 LAFAYETTE AVENUE,Bronx,LONGFELLOW OWNERS LLC,LONGFELLOW OWNERS LLC,0.28%,1,Elevator System at 1325 LAFAYETTE AVENUE Poses Critical Safety Risk with Persistent Malfunctions and Active Complaints
2028531,1547 COMMONWEALTH AVENUE,Bronx,1547 COMMON LLC,1547 COMMON LLC,0.00%,0,Elevator Service Assessment: Moderate Risk Identified at 1547 Commonwealth Avenue Due to Recent Critical Failures
2004312,631 EAST 168 STREET,Bronx,EAST 168TH ST.ASSOCIATES,EAST 168TH ST.ASSOCIATES,0.00%,0,Persistent Elevator Safety and Chronic Outages at 631 EAST 168 STREET Demand Urgent Intervention
2092904,1440 BRONX RIVER AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 1440 Bronx River Avenue Demand Proactive Intervention
2006106,1001 BRYANT AVENUE,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Escalating Elevator Reliability Crisis at 1001 Bryant Avenue Demands Immediate Intervention
2116638,863 MELROSE AVENUE,Bronx,AUDUBON HOUSING DEVELOPMENT FUND CORPORA TION,AUDUBON HOUSING DEVELOPMENT FUND CORPORA TION,0.00%,0,Elevator System at 863 Melrose Avenue Requires Immediate Proactive Intervention Due to Chronic Failures and High Tenant Frustration
2130806,2980 3 AVENUE,Bronx,2980 THIRD AVENUE HOLDINGS LLC,2980 THIRD AVENUE HOLDINGS LLC,0.28%,1,Elevator Service at 2980 3 AVENUE Faces High Risk Due to Unresolved Safety Complaints and Persistent Unreliability
2001501,470 EAST 161 STREET,Bronx,470 EAST 161 LLC,470 EAST 161 LLC,0.00%,0,Executive Summary: Persistent Elevator Issues and Tenant Discontent at 470 EAST 161 STREET
2093936,985 SIMPSON STREET,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Urgent Elevator Safety Concerns and Seasonal Malfunction Pattern at 985 Simpson Street
2001173,2952 3 AVENUE,Bronx,CA 2952 HOLDINGS LLC,CA 2952 HOLDINGS LLC,0.00%,0,Executive Summary: Urgent Review and Proactive Monitoring for 2952 3 Avenue Elevators
2124477,731 SOUTHERN BOULEVARD,Bronx,731 SOUTHERN LLC,731 SOUTHERN LLC,0.00%,0,Executive Summary: Persistent Elevator Issues at 731 Southern Boulevard Warrant Urgent Action
2129268,443 EAST 162 STREET,Bronx,BRONX COMMONS HOUSING DEVELOPMENT FUND CORPORATION,BRONX COMMONS HOUSING DEVELOPMENT FUND CORPORATION,0.00%,0,Elevator System at 443 EAST 162 STREET Requires Immediate Intervention Due to Recurring Critical Failures and Active Complaint
2113382,1189 TINTON AVENUE,Bronx,772 EAST 168TH STREE,772 EAST 168TH STREE,0.00%,0,Elevator System at 1189 TINTON AVENUE Requires Urgent Intervention Due to Chronic Malfunctions and High Resident Frustration
2114987,1090 FRANKLIN AVENUE,Bronx,"HP 1090 FRANKLIN HOUSING DEVELOPMENT FUN D COMPANY INC., AS NOMINEE","HP 1090 FRANKLIN HOUSING DEVELOPMENT FUN D COMPANY INC., AS NOMINEE",0.28%,2,"Critical Elevator Malfunctions Persist at 1090 Franklin Avenue, Demanding Immediate Intervention"
2023770,1491 WATSON AVENUE,Bronx,"HP CSP GF1 HOUSING DEVELOPMENT FUND COMP ANY, INC.","HP CSP GF1 HOUSING DEVELOPMENT FUND COMP ANY, INC.",0.00%,0,Executive Summary: Elevator Status and Advocacy Recommendations for 1491 WATSON AVENUE (BIN 2023770)
2091221,300 EAST 158 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Elevator Status and Advocacy for 300 EAST 158 STREET
